"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28582","Add product to cart","","Sat Jan 25 11:21:03 BDT 2025","passed","Sat Jan 25 11:21:31 BDT 2025","","Demo Evershop product purchase journey","",""
"","72","Verify product grand total price in cart page","","Sat Jan 25 11:21:32 BDT 2025","passed","Sat Jan 25 11:21:32 BDT 2025","","Demo Evershop product purchase journey","",""
"","278","Verify product name in cart page","","Sat Jan 25 11:21:32 BDT 2025","failed","Sat Jan 25 11:21:32 BDT 2025","","Demo Evershop product purchase journey","",""
"","3385","Search with valid product","","Sat Jan 25 11:21:00 BDT 2025","passed","Sat Jan 25 11:21:03 BDT 2025","","Demo Evershop product purchase journey","",""
